City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Dawei Myanmar,147,15,26.5,32,21,530.7,0,76.8,4.6,Asia,14.08,98.19
Kimbe Papua_New_Guinea,27,26,25.9,30,24,520.9,0,80.4,10.3,Oceania,-5.55,150.14
Lae PNG,101,7,26,31,22,463,0,82.5,9,Oceania,-6.72,147.00
Monrovia Liberia,421,17,26,31,23,462.4,0,83,12,Africa,6.29,-10.76
Baguio Philippines,319,1512,19,25,12,454,0,88,4.7,Asia,16.40,120.60
Padang Sumatra Indonesia,834,3,26,30,23,429,0,83.5,9,Oceania,-0.95,100.42
Myeik Myanmar,284,22,26,32,20,412,0,83,4.3,Asia,12.45,98.63
Mawlamyine Myanmar,326,25,26.3,33,19,406.7,0,76.3,3.4,Asia,16.45,97.64
Yakutat AK USA,1,8,4.6,15.8,-5.3,394,364.2,78.5,9.5,North America,59.55,-139.73
Pokhara Nepal,265,1004,18.4,30.6,7.1,390.1,0,69.5,4.5,Asia,28.24,84.00
Ketchikan AK USA,8,116,7.2,18.4,-2.4,388.8,78.7,77,13.4,North America,55.34,-131.65
Kuching Malaysia,325,27,27,32,22,388,0,87.9,8,Asia,1.61,110.38
Douala Cameroon,2940,9,26,30,23,381,0,90,9,Africa,4.05,9.77
Conakry Guinea,1668,25,27,30,24,378.4,0,79,16,Africa,9.64,-13.58
Olongapo Philippines,221,16,28,35,22,359,0,75,12,Asia,14.84,120.28
Arawa Papua_New_Guinea,36,73,25.1,29,22,350.9,0,81.7,6.1,Oceania,-6.23,155.57
Colon Panama,78,3,26,30,23,346,0,84,8.4,Latin America,9.36,-79.90
Limon Costa_Rica,58,-3,26,30,22,339,0,83.3,9,South America,9.99,-83.04
Aberdeen WA USA,16,4,9.4,22.5,0.6,332.7,57.4,78.5,14.5,North America,46.98,-123.82
Mangaluru KA India,499,99,27.3,34,20.8,329,0,78,14,Asia,12.91,74.86
Toamasina Madagascar,275,4,23,30,17,325,0,84,6,Africa,-18.14,49.40
Hilo HI USA,43,10,23.3,28.5,17.7,321.8,0,78.1,11.1,North America,19.71,-155.09
Pontianak Kalimantan Indonesia,234,3,27,31,23,321,0,85,8,Oceania,-0.03,109.34
Cayenne French_Guiana,121,9,26,31,22,320,0,84.5,14,South America,4.92,-52.31
Amami Japan,43,23,20,31,11,316,0,76,7.4,Asia,28.27,129.36
Makeni Sierra_Leone,88,84,28,31,24,314,0,79.1,4.8,Africa,8.87,-12.04
Kailua HI USA,39,3,21.4,27.3,15.3,312.2,0,74,13.8,North America,21.40,-157.74
Freetown Sierra_Leone,1050,4,25.5,31,23,311.3,0,78.9,16.2,Africa,8.47,-13.23
Sandakan Malaysia,157,13,27,31,23,306,0,85.5,8,Asia,5.84,118.12
Malang Java Indonesia,820,449,24.6,30.2,16.5,304.3,0,77.2,12.3,Oceania,-7.97,112.63
Miri Malaysia,235,17,27,30,23,300,0,86,9,Asia,4.40,113.99
Suva Fiji,74,6,24,30,20,297,0,77,10.6,Oceania,-18.12,178.45
Chittagong Bangladesh,2582,6,25.9,32.3,13.9,291.9,0,77,12,Asia,22.36,91.78
Iquitos Peru,371,125,26,31,21,290,0,88.3,16,South America,-3.74,-73.25
Kuantan Malaysia,354,15,26,31,22,286,0,84.5,8,Asia,3.76,103.22
La_Ceiba Honduras,204,3,26,31,20,285,0,84,14,Latin America,15.77,-86.79
Apia Samoa,37,2,26,30,23,285,0,77,10.3,Oceania,-13.85,-171.75
Sorong Papua Indonesia,220,3,28,32,25,284,0,83,8,Oceania,-0.88,131.26
Manado Sulawesi Indonesia,410,79,26,30,23,284,0,83.8,9,Oceania,1.47,124.84
